word,definition,example
artistic,Showing skill and imagination in creating something beautiful or aesthetically pleasing.,She has an artistic eye for interior design.
as,,
Asian,"Relating to Asia or its people, languages, or cultures.",She is an Asian American woman who speaks fluent Mandarin.
aside,A remark or passage in a play (or other form of communication) that is intended to be heard by the audience but not by the other characters.,"The villain leaned towards the audience and muttered, ""He'll never see it coming,"" in an aside."
ask,To request information or action from someone.,Can I ask you a question?
asleep,In a state of sleep.,The baby is finally asleep in his crib.
aspect,A particular feature or part of something.,Cost is an important aspect to consider when buying a car.
assault,A physical attack or threat of attack.,He was arrested for assault after punching the man in the face.
assert,To state something confidently and forcefully as if it is true.,She asserted her innocence despite the evidence against her.
assess,"To evaluate or judge the value, importance, or quality of something.",The teacher will assess our essays based on grammar and content.
assessment,An evaluation or judgment of someone or something.,The teacher gave a final assessment to see how well the students understood the material.
asset,"A useful or valuable thing, person, or quality.",Her calm demeanor is a great asset in a crisis.
assign,To give someone a task or responsibility.,The teacher will assign us homework over the weekend.
assignment,A task or piece of work allocated to someone as part of a job or course of study.,My homework assignment for history class is to write an essay about World War II.
assist,To help or support someone in doing something.,Could you please assist me with carrying these boxes?
assistance,Help or support.,The elderly woman needed assistance crossing the busy street.
assistant,A person who helps or supports someone else in their work or daily tasks.,The manager asked his assistant to schedule a meeting with the client.
associate,To connect or relate things or people in your mind.,I associate the smell of pine needles with Christmas.
association,A connection or link between things or people.,I have a strong association of the smell of cinnamon with Christmas.
assume,To suppose something is true without proof.,"I assume the train will be on time, but I should check just in case."
assumption,Something you believe to be true without proof.,"My assumption was that the train would be on time, but it was delayed."
assure,To tell someone something positively to dispel any doubts they may have.,"I assure you, the cake will be ready on time for the party."
at,"Expressing location, time, or a state.",The cat is sleeping at the foot of the bed.
athlete,A person who is trained or skilled in a sport or other form of physical exercise.,The athlete won the gold medal in the 100-meter sprint.
athletic,"Physically strong, fit, and good at sports.",She's a very athletic person and excels at soccer and basketball.
atmosphere,The layer of gases surrounding a planet or star; the feeling or mood in a place or situation.,The Earth's atmosphere protects us from harmful solar radiation.
attach,"To fasten, join, or connect something to something else.",Please attach your resume to the email.
attack,To try to hurt or defeat someone or something using physical force or words.,The lion attacked the zebra.
attempt,To try to do something.,I will attempt to bake a cake for your birthday.
attend,To be present at an event or place.,I will attend the conference next week.
attention,Focus or notice.,Please pay attention to the instructions.
attitude,A feeling or way of thinking about someone or something.,He has a really positive attitude towards his work.
attorney,A lawyer who can legally represent someone in court.,My attorney advised me not to answer any questions without him present.
attract,To cause someone or something to come to you.,The bright lights attract moths.
attractive,Pleasing to the eye or mind; appealing.,She found him very attractive.
attribute,A quality or characteristic that someone or something has.,Honesty is an important attribute in a friend.
audience,A group of people gathered to watch or listen to something.,The audience applauded loudly after the singer finished her song.
author,"A person who writes a book, article, or other written work.",J.K. Rowling is the author of the Harry Potter series.
authority,"The power or right to give orders, make decisions, and enforce obedience.",The teacher has the authority to discipline students who misbehave in class.
auto,"Short for ""automobile,"" meaning a car.",I need to take my auto in for an oil change this week.
available,Able to be used or obtained.,Is this seat available?
average,"The typical or usual amount, calculated by adding a set of values and then dividing by the number of values.",The average temperature in July is 75 degrees Fahrenheit.
avoid,To stay away from someone or something.,I try to avoid eating sugary foods.
award,Something given to someone for doing well or being recognized.,She received an award for her outstanding volunteer work.
aware,Knowing or realizing something.,I was not aware that the meeting had been canceled.
awareness,The state of being conscious of something; knowledge or perception of a situation or fact.,Public awareness of climate change is growing.
away,,
awful,Very bad or unpleasant.,The weather today is awful; it's raining and cold.
baby,A very young child or animal.,The mother held her baby gently in her arms.
back,,
background,The area or things behind the main subject of a picture or scene; less important information.,The mountains in the background made the photo look stunning.
bad,Not good; of poor quality or undesirable.,The milk smells bad.
badly,In a poor or inadequate way; severely.,The team played badly and lost the game.
bag,"A container made of flexible material, often with an opening at the top.",I need a bag to carry these groceries home.
bake,To cook food in an oven using dry heat.,I'm going to bake a cake for Sarah's birthday.
balance,A state where things are of equal weight or force; stability.,The acrobat lost his balance and fell off the tightrope.
ball,"A round object, typically used in games and sports.",The dog loves to chase the tennis ball in the park.
ban,To officially prohibit or forbid something.,The city council voted to ban single-use plastic bags.
band,A group of people who play music together.,The band played their first gig at the local pub last night.
bank,A financial institution where people can save or borrow money.,I deposited my paycheck at the bank this morning.
bar,"A long, straight piece of metal, wood, or other material.",He used a crowbar to pry open the crate.
barely,Only just; almost not.,I barely made it to the train on time.
barrel,"A cylindrical container, usually bulging in the middle and made of wooden staves bound by hoops.",The wine was aged in oak barrels.
barrier,Something that blocks movement or progress.,The language barrier made it difficult to communicate.
base,"The lowest part of something, used for support; or, a starting point.",The statue had a marble base.
baseball,"A game played with a bat, ball, and gloves between two teams on a large field with four bases.",I'm going to the park to play baseball with my friends.
basic,Fundamental or essential; forming a necessary base or starting point.,Learning the alphabet is basic to reading.
basically,In a fundamental or essential way; essentially.,"The instructions are confusing, but basically, you just need to press the red button."
basis,"The underlying support or foundation for an idea, argument, or system.",The judge dismissed the case because there was no legal basis for the lawsuit.
basket,"A container made of woven material, often used for carrying or storing things.",She filled the basket with apples from the orchard.
basketball,"A team sport played with a ball on a court, where the objective is to score points by throwing the ball through a hoop.",My favorite thing to do after school is play basketball with my friends.
bathroom,A room containing a toilet and usually a sink and a bathtub or shower.,"I'll be right back, I'm going to the bathroom."
battery,,
battle,A fight between opposing armed forces.,"The battle raged for three days, ending in a decisive victory."
be,,
beach,"A shore of a body of water covered by sand, pebbles, or rocks.","We spent the day at the beach, building sandcastles and swimming in the ocean."
bean,"A seed or the pod containing seeds of various leguminous plants, often kidney-shaped and eaten as food.",I love to add black beans to my tacos.
bear,To carry or support; to endure something difficult.,I can't bear the thought of him leaving.
beat,,
beautiful,Pleasing the senses or mind; aesthetically pleasing.,The sunset over the ocean was absolutely beautiful.
beauty,A quality that gives pleasure to the senses or elevates the mind.,The sunset over the ocean was a breathtaking display of beauty.
because,For the reason that; since.,I'm staying home tonight because I have a headache.
become,To start to be something.,The caterpillar will become a butterfly.
bed,A piece of furniture used for sleeping or resting.,I was so tired that I went straight to bed after work.
bedroom,A room used primarily for sleeping.,"My bedroom is upstairs, next to the bathroom."
beer,"An alcoholic beverage made from malted barley, hops, water, and yeast.","After a long day of work, I like to relax with a cold beer."
before,"Earlier than something else, either in time or position.",Please take off your shoes before entering the house.
begin,To start doing something.,Let's begin the meeting.
beginning,The start of something.,The beginning of the movie was a little slow.
behavior,The way someone or something acts.,His bad behavior at the party got him grounded.
behind,,
being,Existence; a living creature.,Human beings are complex and fascinating.
belief,"Something you believe to be true, often without proof.",Her belief in the power of positive thinking helps her through difficult times.
believe,To accept something as true or real.,I believe it will rain tomorrow.
bell,"A hollow, metal object that makes a ringing sound when struck.",I could hear the church bell ringing in the distance.
belong,To be owned by or be a member of something.,That book belongs to Sarah.
below,At a lower level or position than.,The temperature is below freezing tonight.
belt,A strip of material worn around the waist to hold up clothing or carry items.,He needed a belt to keep his pants from falling down.
bench,"A long seat, typically made of wood or metal, for several people to sit on.",We sat on the park bench and watched the children play.
bend,,
beneath,Underneath or below something.,The cat hid beneath the table.
benefit,An advantage or something good gained from something.,Eating healthy food provides many benefits for your body.
beside,Next to; at the side of.,The cat sat beside the fireplace.
besides,In addition to; also.,"I don't want to go to the party. Besides, I have too much work to do."
best,"Of the highest quality, most suitable, or most desirable.",This is the best chocolate cake I've ever tasted.
bet,"To risk something, usually money, on the outcome of an event.",I'll bet you five dollars that it rains tomorrow.
better,"More desirable, useful, or of higher quality.",This new phone has a better camera than my old one.
between,In the space separating two things or points in time.,The cat is sitting between the two chairs.
beyond,"Further than, outside of, or more than.",The mountains are beyond the forest.
Bible,"The holy book of Christianity, containing the Old Testament and the New Testament.",The pastor read a passage from the Bible during the Sunday service.
big,"Large in size, amount, or degree.",That's a big dog!
bike,A two-wheeled vehicle that you pedal to move.,I ride my bike to work every day.
bill,,
billion,"A thousand million (1,000,000,000).",The tech company is now worth over a billion dollars.
bind,To tie or fasten something tightly together; to unite or obligate.,Please bind the documents together with this clip.
biological,Relating to living things or life processes.,The doctor needs to run some biological tests to determine the cause of the illness.
bird,"A warm-blooded vertebrate animal with feathers, wings, and a beak, typically able to fly.",A robin landed on the bird feeder in my backyard.
birth,The act of being born; the emergence of a baby or other young animal from the body of its mother.,The baby's birth was a joyous occasion for the entire family.
birthday,The anniversary of the day someone was born.,I'm having a party for my birthday next Saturday.
bit,A small piece or amount of something.,I only ate a bit of the cake.
bite,To use your teeth to cut into or hold something.,The dog gave me a playful bite on the hand.
black,The darkest color; lacking in light.,The night sky was black and starless.
blade,,
blame,To assign responsibility for a fault or wrongdoing.,The driver blamed the accident on the icy road.
blanket,"A large piece of soft cloth used to keep you warm, especially when you are in bed.",I pulled the blanket up to my chin to keep out the cold.
blind,,
block,"To obstruct or prevent movement, passage, or progress.",The fallen tree blocked the road.
blood,"The red liquid that circulates in the bodies of humans and animals, carrying oxygen and nutrients.",The doctor took a sample of my blood to test for anemia.
blow,,
blue,A color resembling that of the clear sky or the deep sea.,"The ocean was a beautiful, deep blue today."
board,"A flat piece of wood or other material, used for a specific purpose.",I used a cutting board to chop the vegetables.
boat,A small vessel for traveling on water.,We rented a boat to go fishing on the lake.
body,"The physical structure of a person or animal, living or dead.",The doctor examined the patient's body for injuries.
bomb,An explosive device designed to detonate and cause damage.,The police evacuated the building after a bomb threat was called in.
bombing,An attack using bombs.,The city suffered heavy damage after the bombing.
bond,A connection or tie that unites people or things.,The strong bond between siblings is often formed in childhood.
bone,"A hard, whitish tissue making up the skeleton in humans and other vertebrates.",The dog buried its bone in the backyard.
book,A written or printed work consisting of pages glued or sewn together along one side and bound in covers.,I borrowed a fascinating history book from the library.
boom,A sudden increase in economic activity or population.,There was a housing boom in the city last year.
boot,"A sturdy shoe that covers the foot and ankle, sometimes extending up the leg.",I wore my waterproof boots to hike through the muddy trail.
border,The edge or boundary of something.,The farmer planted a row of trees along the border of his field.
born,Brought into life; came into existence.,She was born in July.
borrow,To take something from someone with the intention of returning it.,Can I borrow your pen for a minute?
boss,A person who is in charge of a worker or organization.,My boss asked me to stay late tonight to finish the report.
both,"Referring to two things or people, considered together.",Both my parents are doctors.
bother,"To take the time or make the effort to do something, often when it seems inconvenient or annoying.","Don't bother making dinner, I already ordered pizza."
bottle,"A container, usually made of glass or plastic, with a narrow neck, used for holding liquids.",Please pass me the water bottle.
bottom,The lowest part or surface of something.,The boat scraped along the bottom of the lake.
boundary,A line or border marking the edge of an area.,The fence marks the boundary between our property and our neighbor's.
bowl,"A round, open container used for holding food or other items.",I ate a bowl of cereal for breakfast.
box,"A container with flat sides, typically square or rectangular, often with a lid.",I packed my books in a cardboard box.
boy,A male child or young man.,The boy ran across the playground with his kite.
boyfriend,A male romantic partner in a non-marital relationship.,I'm going to the movies with my boyfriend tonight.
brain,"The organ inside the head that controls thought, memory, and feeling.",Studying all night before a test can really tire your brain.
branch,,
brand,"A name, term, design, symbol, or other feature that identifies one seller's good or service as distinct from those of other sellers.",I prefer Nike shoes; it's a brand I trust for quality and performance.
bread,"A baked food made of flour, water, and yeast.",I like to eat toast with butter for breakfast.
break,To separate into pieces or stop working.,Please be careful not to break that vase.
breakfast,"The first meal of the day, typically eaten in the morning.",I usually have toast and coffee for breakfast.
breast,"The front of the chest; in women, either of the milk-secreting glands on the chest.",The baby nestled against his mother's breast.
breath,The air inhaled or exhaled from the lungs.,I was out of breath after running up the stairs.
breathe,"To draw air into, and expel it from, the lungs.",Remember to breathe deeply when you're feeling stressed.
brick,A rectangular block of fired clay used for building.,The workers built a sturdy house with red bricks.
bridge,"A structure spanning a gap, such as a river or road, to provide passage.",We drove across the Golden Gate Bridge.
brief,Short in duration or extent.,"The meeting will be brief, so please come prepared."
briefly,For a short time; in a concise way.,I spoke to her briefly about the project.
bright,Giving off a lot of light; intelligent.,"The sun is very bright today, and she's a bright student."
brilliant,"Exceptionally clever, talented, or intelligent; also, very bright or shining.",She gave a brilliant presentation that captivated the entire audience.
bring,To take or carry someone or something to a place.,Please bring your books to class tomorrow.
British,"Relating to Great Britain, or its people, language, or culture.",She has a beautiful British accent.
broad,Wide or large in extent from side to side.,The river was too broad to swim across.
broken,Not working or no longer whole.,"The toy car is broken, so it won't move."
brother,A male sibling; a male who shares one or both parents with another person.,My brother and I went to the park to play basketball.
brown,A color like that of chocolate or soil.,"The bear had thick, brown fur."
brush,"An implement with bristles, hair, or wire, used for cleaning, grooming, or applying a substance.",I used a paint brush to apply the varnish to the wooden table.
buck,,
budget,A plan for how to spend money.,We need to create a budget to see if we can afford the vacation.
build,To create something by putting parts together.,They will build a new school in our neighborhood.
building,"A structure with walls and a roof, often used as a home, business, or for other purposes.",The tallest building in the city is a skyscraper.
bullet,A small piece of metal fired from a gun.,The police officer wore a bullet-proof vest.
bunch,A group of things growing or fastened together.,She bought a bunch of bananas at the grocery store.
burden,A heavy load or something difficult to bear.,The responsibility of caring for her sick mother was a heavy burden.
burn,To be damaged or destroyed by fire or heat.,I accidentally burned my toast this morning.
bury,To put something underground and cover it with soil.,The dog loves to bury bones in the backyard.
bus,"A large motor vehicle designed to carry many passengers, typically traveling along a fixed route.",I take the bus to work every day.
business,An activity or enterprise undertaken for profit.,Her family runs a successful catering business.
busy,Actively engaged in doing something; occupied.,"I'm too busy to talk right now, can I call you later?"
but,Used to introduce something that contrasts with or contradicts something previously mentioned.,"I wanted to go to the park, but it started raining."
butter,A solid dairy product made by churning cream.,I spread butter on my toast this morning.
button,"A small, usually round object used to fasten clothing.",Please button your coat; it's cold outside.
buy,To obtain something by paying money for it.,I need to buy milk and bread at the grocery store.
buyer,Someone who purchases something.,The buyer was happy with the car's low mileage.
by,"Near or next to something; also, used to indicate who or what performed an action.","The dog sat by the door, waiting to be let outside; The book was written by Jane Austen."
cabin,,
cabinet,"A piece of furniture with shelves or drawers, used for storing things.",We keep the dishes in the kitchen cabinet.
cable,"A thick wire, or bundle of wires, used to conduct electricity or transmit signals.",The construction crew needed a heavy-duty cable to connect the generator to the stage.
cake,"A sweet baked food made from flour, sugar, and other ingredients.",I baked a chocolate cake for my friend's birthday.
calculate,"To determine something, usually a number or amount, by using mathematical processes.",I need to calculate how much this project will cost.
call,To speak to someone on the phone or to summon someone.,I'll call you later tonight to discuss the plans.
camera,A device for taking photographs or recording videos.,I used my camera to capture the beautiful sunset.
camp,A place where people live temporarily in tents or other simple shelters.,We went camping in the woods last weekend.
campaign,A planned set of activities that people do over time to achieve a specific goal.,The political candidate launched a campaign to win the election.
campus,The grounds and buildings of a university or college.,The students strolled across the campus on their way to class.
can,"To be able to, or permitted to, do something.",I can speak Spanish.
Canadian,Relating to or characteristic of Canada or its people.,She wore a Canadian flag pin on her backpack.
cancer,A disease in which cells grow uncontrollably and can invade other parts of the body.,Smoking cigarettes significantly increases the risk of developing lung cancer.
candidate,A person who applies for a job or is nominated for election.,She is a strong candidate for the position of marketing director.
cap,A close-fitting head covering without a brim.,He wore a baseball cap to shield his eyes from the sun.
capability,The power or ability to do something.,This phone has the capability to record videos in 4K.
